name,cr,type,size,ac,hp,align,legendary,str,dex,con,int,wis,cha,Action,Speed_Scraped,Skill,XP
aboleth,10,aberration,Large,17,135,lawful evil,Legendary,21,9,15,18,15,18,"Multiattack. The aboleth makes three tentacle attacks.Tentacle. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin be","10 ft., swim 40 ft.","History +12, Perception +10",5900
thug,1,humanoid (any race),Medium,11,32,any non-good alignment,,15,11,14,10,10,11,"Multiattack. The thug makes two melee attacks.Mace. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) bludgeoning damage.Heavy Crossbow. Ranged Weapon Attack: +2 to hit, range 100/400 ft., one target. Hit: 5 (1d10) piercing damage.Thugs are ruthless enforcers skilled at intimidation and violence. They work for money and have few scruples.Monster Manual (SRD)",30 ft.,Intimidation +2,100
adult-black-dragon,14,dragon,Huge,19,195,chaotic evil,Legendary,23,14,21,14,13,17,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage.Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.Tail. Melee Weapon Attack: +11 to hit, reach 15 ft.","40 ft., fly 80 ft., swim 40 ft.","Perception +11, Stealth +7",11500
adult-blue-dragon,16,dragon,Huge,19,225,lawful evil,Legendary,25,10,23,16,15,19,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.Tail. Melee Weapon Attack: +12 to hit, reach ","40 ft., burrow 30 ft., fly 80 ft.","Perception +12, Stealth +5",15000
adult-brass-dragon,13,dragon,Huge,18,172,chaotic good,Legendary,23,10,21,14,13,17,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d","40 ft., burrow 30 ft., fly 80 ft.","History +7, Perception +11, Persuasion +8, Stealth +5",10000
adult-bronze-dragon,15,dragon,Huge,19,212,lawful good,Legendary,25,10,23,16,15,19,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage.Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage.Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d","40 ft., fly 80 ft., swim 40 ft.","Insight +7, Perception +12, Stealth +5",13000
adult-copper-dragon,14,dragon,Huge,18,184,chaotic good,Legendary,23,12,21,18,15,17,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d","40 ft., climb 40 ft., fly 80 ft.","Deception +8, Perception +12, Stealth +6",11500
adult-gold-dragon,17,dragon,Huge,19,256,lawful good,Legendary,27,14,25,16,15,24,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.Claw. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.Tail. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d","40 ft., fly 80 ft., swim 40 ft.","Insight +8, Perception +14, Persuasion +13, Stealth +8",18000
adult-green-dragon,15,dragon,Huge,19,207,lawful evil,Legendary,23,12,21,18,15,17,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage.Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.Tail. Melee Weapon Attack: +11 to hit, reach 15 f","40 ft., fly 80 ft., swim 40 ft.","Deception +8, Insight +7, Perception +12, Persuasion +8, Stealth +6",13000
adult-red-dragon,17,dragon,Huge,19,256,chaotic evil,Legendary,27,10,25,16,13,21,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage.Claw. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.Tail. Melee Weapon Attack: +14 to hit, reach 15 ft.","40 ft., climb 40 ft., fly 80 ft.","Perception +13, Stealth +6",18000
adult-silver-dragon,16,dragon,Huge,19,243,lawful good,Legendary,27,10,25,16,13,21,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.Claw. Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.Tail. Melee Weapon Attack: +13 to hit, reach 15 ft., one target. Hit: 17 (2d","40 ft., fly 80 ft.","Arcana +8, History +8, Perception +11, Stealth +5",15000
adult-white-dragon,13,dragon,Huge,18,200,chaotic evil,Legendary,22,10,22,8,12,12,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) cold damage.Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.Tail. Melee Weapon Attack: +11 to hit, reach 15 ft.","40 ft., burrow 30 ft., fly 80 ft., swim 40 ft.","Perception +11, Stealth +5",10000
air-elemental,5,elemental,Large,15,90,neutral,,14,20,14,6,10,6,"Multiattack. The elemental makes two slam attacks.Slam. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage.Whirlwind (Recharge 4-6). Each creature in the elemental's space must make a DC 13 Strength saving throw. On a failure, a target takes 15 (3d8 + 2) bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked p","0 ft., fly 90 ft. (hover)",,1800
satyr,1,fey,Medium,14,31,chaotic neutral,,12,16,11,12,10,14,,40 ft.,"Perception +2, Performance +6, Stealth +5",100
allosaurus,2,beast,Large,13,51,unaligned,,19,13,17,2,12,5,"Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 15 (2d10 + 4) piercing damage.Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage.The allosaurus is a predatory dinosaur of great size, strength, and speed. It can run down almost any prey over open ground, pouncing to pull creatures down with its wicked claws.Monster Manual (BR)",60 ft.,Perception +5,450
ancient-black-dragon,21,dragon,Gargantuan,22,367,chaotic evil,Legendary,27,14,25,16,15,19,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +15 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) acid damage.Claw. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.Tail. Melee Weapon Attack: +15 to hit, reach 20 ft","40 ft., fly 80 ft., swim 40 ft.","Perception +16, Stealth +9",33000
ancient-blue-dragon,23,dragon,Gargantuan,22,481,lawful evil,Legendary,29,10,27,18,17,21,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +16 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 9) piercing damage plus 11 (2d10) lightning damage.Claw. Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 16 (2d6 + 9) slashing damage.Tail. Melee Weapon Attack: +16 to hit, reac","40 ft., burrow 40 ft., fly 80 ft.","Perception +17, Stealth +7",50000
ancient-brass-dragon,20,dragon,Gargantuan,20,297,chaotic good,Legendary,27,10,25,16,15,19,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage.Claw. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.Tail. Melee Weapon Attack: +14 to hit, reach 20 ft., one target. Hit: 17 (2","40 ft., burrow 40 ft., fly 80 ft.","History +9, Perception +14, Persuasion +10, Stealth +6",25000
ancient-bronze-dragon,22,dragon,Gargantuan,22,444,lawful good,Legendary,29,10,27,18,17,21,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +16 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 9) piercing damage.Claw. Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 16 (2d6 + 9) slashing damage.Tail. Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 18 (2","40 ft., fly 80 ft., swim 40 ft.","Insight +10, Perception +17, Stealth +7",41000
ancient-copper-dragon,21,dragon,Gargantuan,21,350,chaotic good,Legendary,27,12,25,20,17,19,"Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.Bite. Melee Weapon Attack: +15 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage.Claw. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.Tail. Melee Weapon Attack: +15 to hit, reach 20 ft., one target. Hit: 17 (2","40 ft., climb 40 ft., fly 80 ft.","Deception +11, Perception +17, Stealth +8",33000
