key,file,score,flags,seconds,peak,rms,clip,tonal_ratio,pitch_stability,dominant_hz,attack_ratio
combat/arrow_impact,combat/arrow_impact_01.wav,1,pas d'attaque (nappe),1.5,0.944,0.195,0.0,0.0,0.125,861,0.36
combat/arrow_impact,combat/arrow_impact_02.wav,1,pas d'attaque (nappe),1.5,0.944,0.1035,0.0,0.024,0.317,172,0.37
combat/arrow_impact,combat/arrow_impact_03.wav,1,pas d'attaque (nappe),1.5,0.944,0.2319,0.0,0.0,0.167,172,1.06
combat/arrow_impact,combat/arrow_impact_04.wav,1,pas d'attaque (nappe),1.5,0.944,0.0976,0.0,0.0,0.281,172,0.41
combat/axe_chop,combat/axe_chop_01.wav,1,tonal (à vérifier),2.0,0.944,0.0412,0.0,0.571,0.286,43,5621.45
combat/axe_chop,combat/axe_chop_02.wav,0,,2.0,0.944,0.0472,0.0,0.375,0.25,43,5622.73
combat/axe_chop,combat/axe_chop_03.wav,1,tonal (à vérifier),2.0,0.944,0.0466,0.0,0.625,0.25,86,7733.25
combat/axe_chop,combat/axe_chop_04.wav,0,,2.0,0.944,0.0383,0.0,0.4,0.4,43,6186.6
combat/blade_slice,combat/blade_slice_01.wav,0,,2.0,0.943,0.0256,0.0,0.0,0.167,0,3089.25
combat/blade_slice,combat/blade_slice_02.wav,0,,2.0,0.944,0.0211,0.0,,,,
combat/blade_slice,combat/blade_slice_03.wav,0,,2.0,0.944,0.0251,0.0,0.0,0.75,86,4417.0
combat/blade_slice,combat/blade_slice_04.wav,0,,2.0,0.944,0.0251,0.0,0.0,0.75,86,4419.0
combat/blade_slice,combat/blade_slice_05.wav,0,,2.0,0.944,0.0214,0.0,0.0,0.5,43,4758.46
combat/bow_shoot,combat/bow_shoot_01.wav,0,,2.0,0.944,0.0345,0.0,0.0,0.2,43,409.56
combat/bow_shoot,combat/bow_shoot_02.wav,0,,2.0,0.944,0.0296,0.0,0.0,0.5,43,311.81
combat/bow_shoot,combat/bow_shoot_03.wav,0,,2.0,0.944,0.0436,0.0,0.0,0.192,43,473.6
combat/bow_shoot,combat/bow_shoot_04.wav,0,,2.0,0.941,0.0366,0.0,0.0,0.214,43,366.23
combat/bow_shoot,combat/bow_shoot_05.wav,0,,2.0,0.944,0.034,0.0,0.0,0.353,43,203.18
combat/crossbow_shoot,combat/crossbow_shoot_01.wav,0,,2.0,0.944,0.0352,0.0,0.0,0.25,86,2898.0
combat/crossbow_shoot,combat/crossbow_shoot_02.wav,0,,2.0,0.943,0.0302,0.0,0.0,0.333,86,3862.19
combat/crossbow_shoot,combat/crossbow_shoot_03.wav,0,,2.0,0.944,0.0288,0.0,0.0,0.214,947,1398.81
combat/crossbow_shoot,combat/crossbow_shoot_04.wav,0,,2.0,0.944,0.0379,0.0,0.0,0.357,86,5153.25
combat/hammer_hit,combat/hammer_hit_01.wav,0,,2.0,0.943,0.0349,0.0,0.231,0.615,560,4755.15
combat/hammer_hit,combat/hammer_hit_02.wav,0,,2.0,0.944,0.0406,0.0,0.077,0.462,560,3436.28
combat/hammer_hit,combat/hammer_hit_03.wav,0,,2.0,0.944,0.048,0.0,0.176,0.529,560,2944.81
combat/hammer_hit,combat/hammer_hit_04.wav,0,,2.0,0.944,0.0414,0.0,0.133,0.4,560,5154.5
combat/knife_draw,combat/knife_draw_01.wav,1,pas d'attaque (nappe),1.5,0.944,0.1984,0.0,0.0,0.333,5168,0.29
combat/knife_draw,combat/knife_draw_02.wav,1,pas d'attaque (nappe),1.5,0.886,0.0623,0.0,0.008,0.297,172,0.9
combat/knife_draw,combat/knife_draw_03.wav,1,pas d'attaque (nappe),1.5,0.944,0.0929,0.0,0.15,0.283,172,1.07
combat/knife_slice,combat/knife_slice_01.wav,1,pas d'attaque (nappe),1.5,0.944,0.267,0.0,0.0,0.103,1895,0.79
combat/knife_slice,combat/knife_slice_02.wav,1,pas d'attaque (nappe),1.5,0.943,0.2249,0.0,0.125,0.242,431,0.93
combat/knife_slice,combat/knife_slice_03.wav,0,,1.5,0.944,0.1816,0.0,0.0,0.182,517,2.11
combat/knife_slice,combat/knife_slice_04.wav,1,pas d'attaque (nappe),1.5,0.944,0.1338,0.0,0.0,0.2,2929,0.33
combat/parry_metal,combat/parry_metal_01.wav,0,,2.0,0.944,0.0546,0.0,0.0,0.15,10078,4758.54
combat/parry_metal,combat/parry_metal_02.wav,0,,2.0,0.944,0.0516,0.0,0.0,0.133,6288,2576.67
combat/parry_metal,combat/parry_metal_03.wav,0,,2.0,0.944,0.032,0.0,0.0,0.158,6503,5154.33
combat/parry_metal,combat/parry_metal_04.wav,0,,2.0,0.944,0.0401,0.0,0.0,0.167,129,5153.67
combat/parry_metal,combat/parry_metal_05.wav,0,,2.0,0.944,0.0327,0.0,0.0,0.176,6288,1104.58
combat/shield_block,combat/shield_block_01.wav,0,,2.0,0.944,0.0376,0.0,0.0,0.333,3316,3436.39
combat/shield_block,combat/shield_block_02.wav,0,,2.0,0.944,0.0328,0.0,0.0,0.286,3316,3638.29
combat/shield_block,combat/shield_block_03.wav,0,,2.0,0.944,0.0319,0.0,0.0,0.143,2799,3436.83
combat/shield_block,combat/shield_block_04.wav,0,,2.0,0.944,0.0313,0.0,0.0,0.286,3144,4417.93
combat/shield_block,combat/shield_block_05.wav,0,,2.0,0.944,0.0349,0.0,0.0,0.429,3144,3866.25
combat/spear_thrust,combat/spear_thrust_01.wav,1,pas d'attaque (nappe),1.5,0.944,0.1033,0.0,0.057,0.286,0,0.45
